Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	ACP[c] + atp[c] + ttdca[c]  -> amp[c] + myrsACP[c] + ppi[c] 	(b2836)	0	  0.00	1000.00	  0.00
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	ACP[c] + atp[c] + ttdcea[c]  -> amp[c] + ppi[c] + tdeACP[c] 	(b2836)	0	  0.00	1000.00	  0.00
AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	ACP[c] + atp[c] + hdca[c]  -> amp[c] + palmACP[c] + ppi[c] 	(b2836)	0	  0.00	1000.00	  0.00
AACPS4	acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	ACP[c] + atp[c] + hdcea[c]  -> amp[c] + hdeACP[c] + ppi[c] 	(b2836)	0	  0.00	1000.00	  0.00
AACPS5	acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	ACP[c] + atp[c] + ocdcea[c]  -> amp[c] + octeACP[c] + ppi[c] 	(b2836)	0	  0.00	1000.00	  0.00
AADDGT	dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase	dtdp4aaddg[c] + unagamu[c]  -> dtdp[c] + h[c] + unagamuf[c] 	(b3793)	0	  0.00	1000.00	  0.00
AB6PGH	Arbutin 6-phosphate glucohydrolase	arbt6p[c] + h2o[c]  -> g6p[c] + hqn[c] 	(b2901)	0	  0.00	1000.00	  0.00
ABTA	 4-aminobutyrate transaminase	4abut[c] + akg[c]  -> glu-L[c] + sucsal[c] 	(b2662) or (b1302)	0	  0.00	1000.00	  0.00
ABUTD	Aminobutyraldehyde dehydrogenase	4abutn[c] + h2o[c] + nad[c]  -> 4abut[c] + 2 h[c] + nadh[c] 		0	  0.00	1000.00	  0.00
ABUTt2	 4-aminobutyrate transport in via proton symport	4abut[e] + h[e]  -> 4abut[c] + h[c] 	(b2663)	0	  0.00	1000.00	  0.00
ACACCT	acetyl-CoA:acetoacetyl-CoA transferase	acac[c] + accoa[c]  -> aacoa[c] + ac[c] 	(b2222 and b2221)	0	  0.00	1000.00	  0.00
ACACT1r	acetyl-CoA C-acetyltransferase	2 accoa[c]  <=> aacoa[c] + coa[c] 	(b2224)	1	-1000.00	1000.00	  0.00
ACACt2	acetoacetate transport via proton symport	acac[e] + h[e]  <=> acac[c] + h[c] 	(b2223)	1	-1000.00	1000.00	  0.00
ACALDi	acetaldehyde dehydrogenase (acetylating)	acald[c] + coa[c] + nad[c]  -> accoa[c] + h[c] + nadh[c] 	(b0351)	0	  0.00	1000.00	  0.00
ACALDt	acetaldehyde reversible transport	acald[e]  <=> acald[c] 		1	-1000.00	1000.00	  0.00
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	adocbip[c] + gtp[c] + h[c]  -> agdpcbi[c] + ppi[c] 	(b1993)	0	  0.00	1000.00	  0.00
ACCOACr	acetyl-CoA carboxylase, reversible reaction	accoa[c] + atp[c] + hco3[c]  <=> adp[c] + h[c] + malcoa[c] + pi[c] 	(b0185 and b3255 and b3256 and b2316)	1	-1000.00	1000.00	  0.00
ACCOAL	acetate-CoA ligase (ADP-forming)	atp[c] + coa[c] + ppa[c]  -> adp[c] + pi[c] + ppcoa[c] 	(b0335)	0	  0.00	1000.00	  0.00
ACGAMT	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	uacgam[c] + udcpp[c]  -> ump[c] + unaga[c] 	(b3784)	0	  0.00	1000.00	  0.00
ACGApts	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS	acgam[e] + pep[c]  -> acgam6p[c] + pyr[c] 	(b2415) and (b2417) and (b2416) and (b1101) or (b2415) and (b2416) and (b0679)	0	  0.00	1000.00	  0.00
ACGK	acetylglutamate kinase	acglu[c] + atp[c]  -> acg5p[c] + adp[c] 	(b3959)	0	  0.00	1000.00	  0.00
ACGS	N-acetylglutamate synthase	accoa[c] + glu-L[c]  -> acglu[c] + coa[c] + h[c] 	(b2818)	0	  0.00	1000.00	  0.00
ACHBS	 2-aceto-2-hydroxybutanoate synthase	2obut[c] + h[c] + pyr[c]  -> 2ahbut[c] + co2[c] 	(b3670 and b3671) or (b0077 and b0078) or (b3768 and b3769 and b3767)	0	  0.00	1000.00	  0.00
ACKr	acetate kinase	ac[c] + atp[c]  <=> actp[c] + adp[c] 	(b2296) or (b3115) or (b1849)	1	-1000.00	1000.00	  0.00
ACLS	acetolactate synthase	h[c] + 2 pyr[c]  -> alac-S[c] + co2[c] 	(b3670 and b3671) or (b0077 and b0078) or (b3768 and b3769 and b3767)	0	  0.00	1000.00	  0.00
ACMAMUT	UDP-N-acetyl-D-mannosaminuronic acid transferase	uacmamu[c] + unaga[c]  -> h[c] + udp[c] + unagamu[c] 	(b3794)	0	  0.00	1000.00	  0.00
ACMANApts	N-acetyl-D-mannosamine transport via PTS	acmana[e] + pep[c]  -> acmanap[c] + pyr[c] 	(b2415) and (b2416) and (b1818) and (b1817) and (b1819)	0	  0.00	1000.00	  0.00
ACNAMt2	N-acetylneuraminate proton symport	acnam[e] + h[e]  -> acnam[c] + h[c] 	(b3224)	0	  0.00	1000.00	  0.00
ACNML	N-Acetylneuraminate lyase	acnam[c]  -> acmana[c] + pyr[c] 	(b3225)	0	  0.00	1000.00	  0.00
ACOATA	Acetyl-CoA ACP transacylase	ACP[c] + accoa[c]  <=> acACP[c] + coa[c] 	(b1091)	1	-1000.00	1000.00	  0.00
ACODA	acetylornithine deacetylase	acorn[c] + h2o[c]  -> ac[c] + orn[c] 	(b3957)	0	  0.00	1000.00	  0.00
ACONMT	Trans-aconitate methyltransferase	acon-T[c] + amet[c]  -> aconm[c] + ahcys[c] 	(b1519)	0	  0.00	1000.00	  0.00
ACONT	aconitase	cit[c]  <=> icit[c] 	(b1276) or (b0118)	1	-1000.00	1000.00	  0.00
ACOTA	acetylornithine transaminase	acorn[c] + akg[c]  <=> acg5sa[c] + glu-L[c] 	(b3359)	1	-1000.00	1000.00	  0.00
ACPS1	acyl-carrier protein synthase	apoACP[c] + coa[c]  -> ACP[c] + h[c] + pap[c] 	(b2563)	0	  0.00	1000.00	  0.00
ACS	acetyl-CoA synthetase	ac[c] + atp[c] + coa[c]  -> accoa[c] + amp[c] + ppi[c] 	(b4069)	0	  0.00	1000.00	  0.00
ACt2r	acetate reversible transport via proton symport	ac[e] + h[e]  <=> ac[c] + h[c] 		1	-1000.00	1000.00	  0.00
ADA	Adenosine deaminase	adn[c] + h2o[c] + h[c]  -> ins[c] + nh4[c] 	(b1623)	0	  0.00	1000.00	  0.00
ADCL	 4-aminobenzoate synthase	4adcho[c]  -> 4abz[c] + h[c] + pyr[c] 	(b1096)	0	  0.00	1000.00	  0.00
ADCS	 4-amino-4-deoxychorismate synthase	chor[c] + gln-L[c]  -> 4adcho[c] + glu-L[c] 	(b3360) and (b1812)	0	  0.00	1000.00	  0.00
ADD	adenine deaminase	ade[c] + h2o[c] + h[c]  -> hxan[c] + nh4[c] 	(b3665)	0	  0.00	1000.00	  0.00
ADEt2r	adenine transport via proton symport (reversible)	ade[e] + h[e]  <=> ade[c] + h[c] 	(b3654)	1	-1000.00	1000.00	  0.00
ADHEr	Acetaldehyde dehydrogenase	accoa[c] + 2 h[c] + 2 nadh[c]  <=> coa[c] + etoh[c] + 2 nad[c] 	(b1241)	1	-1000.00	1000.00	  0.00
ADK1	adenylate kinase	amp[c] + atp[c]  <=> 2 adp[c] 	(b0474)	1	-1000.00	1000.00	  0.00
ADK3	adentylate kinase (GTP)	amp[c] + gtp[c]  <=> adp[c] + gdp[c] 	(b0474)	1	-1000.00	1000.00	  0.00
ADK4	adentylate kinase (ITP)	amp[c] + itp[c]  <=> adp[c] + idp[c] 	(b0474)	1	-1000.00	1000.00	  0.00
ADMDCr	Adenosylmethionine decarboxylase	amet[c] + h[c]  <=> ametam[c] + co2[c] 	(b0120)	1	-1000.00	1000.00	  0.00
ADNCYC	adenylate cyclase	atp[c]  -> camp[c] + ppi[c] 	(b3806)	0	  0.00	1000.00	  0.00
ADNK1	adenosine kinase	adn[c] + atp[c]  -> adp[c] + amp[c] + h[c] 	(b0474)	0	  0.00	1000.00	  0.00
ADNt2	adenosine transport in via proton symport	adn[e] + h[e]  -> adn[c] + h[c] 	(b2964) or (b2393)	0	  0.00	1000.00	  0.00
ADNt2r	adenosine transport in via proton symport, reversible	adn[e] + h[e]  <=> adn[c] + h[c] 	(b2406)	1	-1000.00	1000.00	  0.00
ADOCBIK	Adenosyl cobinamide kinase	adocbi[c] + atp[c]  -> adocbip[c] + adp[c] + h[c] 	(b1993)	0	  0.00	1000.00	  0.00
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	agdpcbi[c] + rdmbzi[c]  -> adocbl[c] + gmp[c] + h[c] 	(b1992)	0	  0.00	1000.00	  0.00
ADPT	adenine phosphoribosyltransferase	ade[c] + prpp[c]  -> amp[c] + ppi[c] 	(b0469)	0	  0.00	1000.00	  0.00
ADSK	adenylyl-sulfate kinase	aps[c] + atp[c]  -> adp[c] + h[c] + paps[c] 	(b2750)	0	  0.00	1000.00	  0.00
ADSL1r	adenylsuccinate lyase	dcamp[c]  <=> amp[c] + fum[c] 	(b1131)	1	-1000.00	1000.00	  0.00
ADSL2r	adenylosuccinate lyase	25aics[c]  <=> aicar[c] + fum[c] 	(b1131)	1	-1000.00	1000.00	  0.00
ADSS	adenylosuccinate synthase	asp-L[c] + gtp[c] + imp[c]  -> dcamp[c] + gdp[c] + 2 h[c] + pi[c] 	(b4177)	0	  0.00	1000.00	  0.00
AGDC	N-acetylglucosamine-6-phosphate deacetylase	acgam6p[c] + h2o[c]  -> ac[c] + gam6p[c] 	(b0677)	0	  0.00	1000.00	  0.00
AGMHE	ADP-D-glycero-D-manno-heptose epimerase	adphep-DD[c]  -> adphep-LD[c] 	(b3619)	0	  0.00	1000.00	  0.00
AGMT	agmatinase	agm[c] + h2o[c]  -> ptrc[c] + urea[c] 	(b2937)	0	  0.00	1000.00	  0.00
AGPR	N-acetyl-g-glutamyl-phosphate reductase	acg5sa[c] + nadp[c] + pi[c]  <=> acg5p[c] + h[c] + nadph[c] 	(b3958)	1	-1000.00	1000.00	  0.00
AHC	adenosylhomocysteinase	ahcys[c] + h2o[c]  <=> adn[c] + hcys-L[c] 		1	-1000.00	1000.00	  0.00
AHCYSNS	S-adenosylhomocysteine nucleosidase	ahcys[c] + h2o[c]  -> ade[c] + rhcys[c] 	(b0159)	0	  0.00	1000.00	  0.00
AICART	phosphoribosylaminoimidazolecarboxamide formyltransferase	10fthf[c] + aicar[c]  <=> fprica[c] + thf[c] 	(b4006)	1	-1000.00	1000.00	  0.00
AIRC2	phosphoribosylaminoimidazole carboxylase	air[c] + atp[c] + hco3[c]  -> 5caiz[c] + adp[c] + h[c] + pi[c] 	(b0522)	0	  0.00	1000.00	  0.00
AIRC3	phosphoribosylaminoimidazole carboxylase (mutase rxn)	5aizc[c]  <=> 5caiz[c] 	(b0523)	1	-1000.00	1000.00	  0.00
AKGDH	 2-Oxogluterate dehydrogenase	akg[c] + coa[c] + nad[c]  -> co2[c] + nadh[c] + succoa[c] 	(b0727) and (b0116) and (b0726)	0	  0.00	1000.00	  0.00
AKGt2r	 2-oxoglutarate reversible transport via symport	akg[e] + h[e]  <=> akg[c] + h[c] 	(b2587)	1	-1000.00	1000.00	  0.00
ALAALAr	D-alanine-D-alanine ligase (reversible)	2 ala-D[c] + atp[c]  <=> adp[c] + alaala[c] + h[c] + pi[c] 	(b0381) or (b0092)	1	-1000.00	1000.00	  0.00
ALAR	alanine racemase	ala-L[c]  <=> ala-D[c] 	(b4053)	1	-1000.00	1000.00	  0.00
ALARi	alanine racemase (irreversible)	ala-L[c]  -> ala-D[c] 	(b1190)	0	  0.00	1000.00	  0.00
ALATA_D2	D-alanine transaminase	ala-D[c] + pydx5p[c]  -> pyam5p[c] + pyr[c] 	(b2551)	0	  0.00	1000.00	  0.00
ALATA_L	L-alanine transaminase	akg[c] + ala-L[c]  <=> glu-L[c] + pyr[c] 		1	-1000.00	1000.00	  0.00
ALATA_L2	alanine transaminase	ala-L[c] + pydx5p[c]  -> pyam5p[c] + pyr[c] 	(b2551)	0	  0.00	1000.00	  0.00
ALAabc	L-alanine transport via ABC system	ala-L[e] + atp[c] + h2o[c]  -> adp[c] + ala-L[c] + h[c] + pi[c] 	(b3455) and (b3457) and (b3454) and (b3460) and (b3456)	0	  0.00	1000.00	  0.00
ALAt2r	L-alanine reversible transport via proton symport	ala-L[e] + h[e]  <=> ala-L[c] + h[c] 	(b0007) or (b4208)	1	-1000.00	1000.00	  0.00
ALCD19	alcohol dehydrogenase (glycerol)	glyald[c] + h[c] + nadh[c]  <=> glyc[c] + nad[c] 	(b0356)	1	-1000.00	1000.00	  0.00
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	h2o[c] + nad[c] + pacald[c]  -> 2 h[c] + nadh[c] + pac[c] 	(b1385)	0	  0.00	1000.00	  0.00
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	acald[c] + h2o[c] + nad[c]  -> ac[c] + 2 h[c] + nadh[c] 	(b1300)	0	  0.00	1000.00	  0.00
ALLTAH	Allantoate amidinohydrolase	alltt[c] + h2o[c]  -> urdglyc[c] + urea[c] 	(b0516)	0	  0.00	1000.00	  0.00
ALLTN	allantoinase	alltn[c] + h2o[c]  -> alltt[c] + h[c] 	(b0512)	0	  0.00	1000.00	  0.00
ALLTNt2r	allantoin transport in via proton symport	alltn[e] + h[e]  <=> alltn[c] + h[c] 	(b0511)	1	-1000.00	1000.00	  0.00
ALTRH	altronate hydrolase	altrn[c]  -> 2ddglcn[c] + h2o[c] 	(b3091)	0	  0.00	1000.00	  0.00
AMALT1	Amylomaltase (maltotriose)	malt[c] + malttr[c]  -> glc-D[c] + maltttr[c] 	(b3416)	0	  0.00	1000.00	  0.00
AMALT2	Amylomaltase (maltotetraose)	malt[c] + maltttr[c]  -> glc-D[c] + maltpt[c] 	(b3416)	0	  0.00	1000.00	  0.00
AMALT3	Amylomaltase (maltopentaose)	malt[c] + maltpt[c]  -> glc-D[c] + malthx[c] 	(b3416)	0	  0.00	1000.00	  0.00
AMALT4	Amylomaltase (maltohexaose)	malt[c] + malthx[c]  -> glc-D[c] + malthp[c] 	(b3416)	0	  0.00	1000.00	  0.00
AMANAPE	N-acetylmannosamine 6-phosphate epimerase	acmanap[c]  -> acgam6p[c] 	(b3223)	0	  0.00	1000.00	  0.00
AMANK	N-acetyl-D-mannosamine kinase	acmana[c] + atp[c]  -> acmanap[c] + adp[c] + h[c] 	(b3222)	0	  0.00	1000.00	  0.00
AMAOTr	adenosylmethionine-8-amino-7-oxononanoate transaminase	8aonn[c] + amet[c]  <=> amob[c] + dann[c] 	(b0774)	1	-1000.00	1000.00	  0.00
AMMQT8_2	S-adenosylmethione:2-demethylmenaquinone methyltransferase	2dmmq8[c] + amet[c]  -> ahcys[c] + h[c] + mqn8[c] 	(b3929)	0	  0.00	1000.00	  0.00
AMPMS	 4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	air[c] + h2o[c]  -> 4ampm[c] + 2 for[c] + 4 h[c] 	(b3994)	0	  0.00	1000.00	  0.00
AMPN	AMP nucleosidase	amp[c] + h2o[c]  -> ade[c] + r5p[c] 	(b1982)	0	  0.00	1000.00	  0.00
ANPRT	anthranilate phosphoribosyltransferase	anth[c] + prpp[c]  -> ppi[c] + pran[c] 	(b1263)	0	  0.00	1000.00	  0.00
ANS	anthranilate synthase	chor[c] + gln-L[c]  -> anth[c] + glu-L[c] + h[c] + pyr[c] 	(b1264) and (b1263)	0	  0.00	1000.00	  0.00
AOXSr	 8-amino-7-oxononanoate synthase	ala-L[c] + h[c] + pmcoa[c]  <=> 8aonn[c] + co2[c] + coa[c] 	(b0776)	1	-1000.00	1000.00	  0.00
AP4AH	Ap4A hydrolase	ap4a[c] + h2o[c]  -> 2 adp[c] + 2 h[c] 	(b0049)	0	  0.00	1000.00	  0.00
AP5AH	Ap5A hydrolase	ap5a[c] + h2o[c]  -> adp[c] + atp[c] + 2 h[c] 	(b0049)	0	  0.00	1000.00	  0.00
APRAUR	 5-amino-6-(5-phosphoribosylamino)uracil reductase	5apru[c] + h[c] + nadph[c]  -> 5aprbu[c] + nadp[c] 	(b0414)	0	  0.00	1000.00	  0.00
ARAI	L-arabinose isomerase	arab-L[c]  <=> rbl-L[c] 	(b0062)	1	-1000.00	1000.00	  0.00
ARBabc	L-arabinose transport via ABC system	arab-L[e] + atp[c] + h2o[c]  -> adp[c] + arab-L[c] + h[c] + pi[c] 	(b1900) and (b1898 and b1899) and (b1901)	0	  0.00	1000.00	  0.00
ARBt2r	L-arabinose transport via proton symport	arab-L[e] + h[e]  <=> arab-L[c] + h[c] 	(b2841)	1	-1000.00	1000.00	  0.00
ARGDC	arginine decarboxylase	arg-L[c] + h[c]  -> agm[c] + co2[c] 	(b2938) or (b4117)	0	  0.00	1000.00	  0.00
ARGORNt7	arginine/ornithine antiporter	arg-L[e] + orn[c]  <=> arg-L[c] + orn[e] 	(b1605)	1	-1000.00	1000.00	  0.00
ARGSL	argininosuccinate lyase	argsuc[c]  <=> arg-L[c] + fum[c] 	(b3960)	1	-1000.00	1000.00	  0.00
ARGSS	argininosuccinate synthase	asp-L[c] + atp[c] + citr-L[c]  -> amp[c] + argsuc[c] + h[c] + ppi[c] 	(b3172)	0	  0.00	1000.00	  0.00
ARGabc	L-arginine transport via ABC system	arg-L[e] + atp[c] + h2o[c]  -> adp[c] + arg-L[c] + h[c] + pi[c] 	(b2310) and (b2307) and (b2308) and (b2306) or (b0860) and (b0861) and (b0864) and (b0862)	0	  0.00	1000.00	  0.00
ASAD	aspartate-semialdehyde dehydrogenase	aspsa[c] + nadp[c] + pi[c]  <=> 4pasp[c] + h[c] + nadph[c] 	(b3433)	1	-1000.00	1000.00	  0.00
ASNN	L-asparaginase	asn-L[c] + h2o[c]  -> asp-L[c] + nh4[c] 	(b1767) or (b2957) or (b0828)	0	  0.00	1000.00	  0.00
ASNS1	asparagine synthase (glutamine-hydrolysing)	asp-L[c] + atp[c] + gln-L[c] + h2o[c]  -> amp[c] + asn-L[c] + glu-L[c] + h[c] + ppi[c] 	(b0674)	0	  0.00	1000.00	  0.00
ASNS2	asparagine synthetase	asp-L[c] + atp[c] + nh4[c]  -> amp[c] + asn-L[c] + h[c] + ppi[c] 	(b3744)	0	  0.00	1000.00	  0.00
ASNabc	L-asparagine transport via ABC system	asn-L[e] + atp[c] + h2o[c]  -> adp[c] + asn-L[c] + h[c] + pi[c] 		0	  0.00	1000.00	  0.00
ASNt2r	L-asparagine reversible transport via proton symport	asn-L[e] + h[e]  <=> asn-L[c] + h[c] 		1	-1000.00	1000.00	  0.00
ASP1DC	aspartate 1-decarboxylase	asp-L[c] + h[c]  -> ala-B[c] + co2[c] 	(b0131)	0	  0.00	1000.00	  0.00
ASPCT	aspartate carbamoyltransferase	asp-L[c] + cbp[c]  -> cbasp[c] + h[c] + pi[c] 	(b4244 and b4245)	0	  0.00	1000.00	  0.00
ASPK	aspartate kinase	asp-L[c] + atp[c]  <=> 4pasp[c] + adp[c] 	(b0002) or (b4024) or (b3940)	1	-1000.00	1000.00	  0.00
ASPO3	L-aspartate oxidase	asp-L[c] + q8[c]  -> iasp[c] + q8h2[c] 	(b2574)	0	  0.00	1000.00	  0.00
ASPO4	L-aspartate oxidase	asp-L[c] + mqn8[c]  -> iasp[c] + mql8[c] 	(b2574)	0	  0.00	1000.00	  0.00
ASPO5	L-aspartate oxidase	asp-L[c] + fum[c]  -> iasp[c] + succ[c] 	(b2574)	0	  0.00	1000.00	  0.00
ASPO6	L-aspartate oxidase	asp-L[c] + o2[c]  -> h2o2[c] + iasp[c] 	(b2574)	0	  0.00	1000.00	  0.00
ASPT	L-aspartase	asp-L[c]  -> fum[c] + nh4[c] 	(b4139)	0	  0.00	1000.00	  0.00
ASPTA	aspartate transaminase	akg[c] + asp-L[c]  <=> glu-L[c] + oaa[c] 	(b0928)	1	-1000.00	1000.00	  0.00
ASPabc	L-aspartate transport via ABC system	asp-L[e] + atp[c] + h2o[c]  -> adp[c] + asp-L[c] + h[c] + pi[c] 	(b0653) and (b0654) and (b0655) and (b0652)	0	  0.00	1000.00	  0.00
ASPt2	L-aspartate transport in via proton symport	asp-L[e] + h[e]  -> asp-L[c] + h[c] 	(b4077)	0	  0.00	1000.00	  0.00
ASPt2_2	Aspartate transport via proton symport (2 H)	asp-L[e] + 2 h[e]  -> asp-L[c] + 2 h[c] 	(b3528)	0	  0.00	1000.00	  0.00
ASPt2_3	L-asparate transport via proton symport (3 H)	asp-L[e] + 3 h[e]  -> asp-L[c] + 3 h[c] 	(b4123) or (b4138)	0	  0.00	1000.00	  0.00
AST	Arginine succinyltransferase	arg-L[c] + succoa[c]  -> coa[c] + h[c] + sucarg[c] 	(b1747)	0	  0.00	1000.00	  0.00
ATPM	ATP maintenance requirement	atp[c] + h2o[c]  -> adp[c] + h[c] + pi[c] 		0	  7.60	  7.60	  0.00
ATPPRT	ATP phosphoribosyltransferase	atp[c] + prpp[c]  -> ppi[c] + prbatp[c] 	(b2019)	0	  0.00	1000.00	  0.00
ATPS4r	ATP synthase (four protons for one ATP)	adp[c] + 4 h[e] + pi[c]  <=> atp[c] + h2o[c] + 3 h[c] 	(b3739) and (b3737 and b3736 and b3738) and (b3735 and b3734 and b3733 and b3732 and b3731)	1	-1000.00	1000.00	  0.00
BETALDHx	betaine-aldehyde dehydrogenase	betald[c] + h2o[c] + nad[c]  -> glyb[c] + 2 h[c] + nadh[c] 	(b0312)	0	  0.00	1000.00	  0.00
BETALDHy	betaine-aldehyde dehydrogenase	betald[c] + h2o[c] + nadp[c]  -> glyb[c] + 2 h[c] + nadph[c] 	(b0312)	0	  0.00	1000.00	  0.00
BPNT	 3',5'-bisphosphate nucleotidase	h2o[c] + pap[c]  -> amp[c] + pi[c] 		0	  0.00	1000.00	  0.00
BSORx	Biotin sulfoxide reductase	btnso[c] + h[c] + nadh[c]  -> btn[c] + h2o[c] + nad[c] 	(b3551)	0	  0.00	1000.00	  0.00
BSORy	Biotin sulfoxide reductase	btnso[c] + h[c] + nadph[c]  -> btn[c] + h2o[c] + nadp[c] 	(b3551)	0	  0.00	1000.00	  0.00
BTS2	biotin synthase (ala-L producing)	cys-L[c] + dtbt[c]  <=> ala-L[c] + btn[c] + 2 h[c] 	(b0775)	1	-1000.00	1000.00	  0.00
BUTCT	Acetyl-CoA:butyrate-CoA transferase	accoa[c] + but[c]  -> ac[c] + btcoa[c] 	(b2222 and b2221)	0	  0.00	1000.00	  0.00
BUTt2r	Butyrate transport via proton symport, reversible	but[e] + h[e]  <=> but[c] + h[c] 	(b2223)	1	-1000.00	1000.00	  0.00
BiomassEcoli	BiomassEcoli	0.05 5mthf[c] + 5e-05 accoa[c] + 0.488 ala-L[c] + 0.001 amp[c] + 0.281 arg-L[c] + 0.229 asn-L[c] + 0.229 asp-L[c] + 45.7318 atp[c] + 0.000129 clpn_EC[c] + 6e-06 coa[c] + 0.126 ctp[c] + 0.087 cys-L[c] + 0.0247 datp[c] + 0.0254 dctp[c] + 0.0254 dgtp[c] + 0.0247 dttp[c] + 1e-05 fad[c] + 0.25 gln-L[c] + 0.25 glu-L[c] + 0.582 gly[c] + 0.154 glycogen[c] + 0.203 gtp[c] + 45.5608 h2o[c] + 0.09 his-L[c] + 0.276 ile-L[c] + 0.428 leu-L[c] + 0.0084 lps_EC[c] + 0.326 lys-L[c] + 0.146 met-L[c] + 0.00215 nad[c] + 5e-05 nadh[c] + 0.00013 nadp[c] + 0.0004 nadph[c] + 0.001935 pe_EC[c] + 0.0276 peptido_EC[c] + 0.000464 pg_EC[c] + 0.176 phe-L[c] + 0.21 pro-L[c] + 5.2e-05 ps_EC[c] + 0.035 ptrc[c] + 0.205 ser-L[c] + 0.007 spmd[c] + 3e-06 succoa[c] + 0.241 thr-L[c] + 0.054 trp-L[c] + 0.131 tyr-L[c] + 0.003 udpg[c] + 0.136 utp[c] + 0.402 val-L[c]  -> 45.5608 adp[c] + 45.5603 h[c] + 45.5628 pi[c] + 0.7302 ppi[c] 		0	  0.00	1000.00	  1.00
C120SN	Fatty acid biosynthesis (n-C12:0)	actACP[c] + 14 h[c] + 4 malACP[c] + 10 nadph[c]  -> 4 ACP[c] + 4 co2[c] + ddcaACP[c] + 5 h2o[c] + 10 nadp[c] 	(b0180) and (b1095) and (b1288) and (b1093) or (b2323) and (b0180) and (b1093) and (b1288) or (b2323) and (b0954) and (b1093) and (b1288) or (b0954) and (b1095) and (b1093) and (b1288)	0	  0.00	1000.00	  0.00
C140SN	Fatty acid biosynthesis (n-C14:0)	actACP[c] + 17 h[c] + 5 malACP[c] + 12 nadph[c]  -> 5 ACP[c] + 5 co2[c] + 6 h2o[c] + myrsACP[c] + 12 nadp[c] 	(b0180) and (b2323) and (b1093) and (b1288) or (b2323) and (b0954) and (b1093) and (b1288) or (b0954) and (b1095) and (b1093) and (b1288) or (b0180) and (b1095) and (b1288) and (b1093)	0	  0.00	1000.00	  0.00
C141SN	Fatty acid biosynthesis (n-C14:1)	actACP[c] + 16 h[c] + 5 malACP[c] + 11 nadph[c]  -> 5 ACP[c] + 5 co2[c] + 6 h2o[c] + 11 nadp[c] + tdeACP[c] 	(b2323) and (b0180) and (b0954) and (b1288) and (b1093)	0	  0.00	1000.00	  0.00
